0x0017D6B8 CFMAPlayerAnim_HandleAttributes
0x0017D8E8 CFMAPlayerAnim_factory
0x0017DB70 CFMAPlayerMover_HandleAttributes
0x0017DC90 CFMAPlayerMover_factory
0x0017E298 AccoladeData_factory
0x0017E340 UnlockableData_factory
0x0017FD18 CSettingsManager_HandleAttributes
0x00180410 CSettingsManager_factory
0x001830A0 IGCBorder_HandleAttributes
0x00183490 IGCBorder_factory
0x001838D0 CIGCCamera_HandleAttributes
0x00183CE0 CIGCCamera_factory
0x00184650 CIGCCharacter_factory
0x00187AD8 CIGCTrigger_HandleAttributes
0x00187D50 CIGCTrigger_factory
0x00188DF8 CPointTrigger_HandleAttributes
0x00189150 CPointTrigger_factory
0x001896E0 CMapAnchorPoint_HandleAttributes
0x001898E0 CMapAnchorPoint_factory
0x00189A90 CMapItem_HandleAttributes
0x00189C68 CMapItem_factory
0x0018BA78 CDynamicHealthItem_HandleAttributes
0x0018BD98 CDynamicHealthItem_factory
0x0018BF50 CForceItemTrigger_HandleAttributes
0x0018C0A8 CForceItemTrigger_factory
0x0018C300 CInventoryItemDef_HandleAttributes
0x0018C8A8 CInventoryItemDef_factory
0x001916F0 CPickupItem_HandleAttributes
0x00191FD8 CPickupItem_factory
0x00193B30 CPSX2StndController_HandleAttributes
0x001944C8 CPSX2StndController_factory
0x00194DE0 CVirtualController_factory
0x00199CE0 AudioGlobalMixer_factory
0x0019A650 AudioGroup_factory
0x0019ADA0 AudioReverb_factory
0x0019B538 AudioSound3D_HandleAttributes
0x0019BBA0 AudioSound3D_factory
0x0019C3D0 AudioStream_factory
0x001A50D0 Waypoint_HandleAttributes
0x001A5298 Waypoint_factory
0x001B2CF8 ScreenText_HandleAttributes
0x001B3218 ScreenText_factory
0x001D6748 SavePoint_HandleAttributes
0x001D6888 SavePoint_factory
0x00321710 GetThreadId
0x00321800 EndOfHeap
0x00321840 SignalSema
0x00321860 WaitSema
0x00321aa0 FlushCache
0x00321c50 Deci2Call
